,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES
375,0.9900260213712784,-0.22117993892260457,2.2051699592121947,-0.8996798476499938,-1.0965378316137624,0.045889333931572594,1.1512908743417392,-0.016364880682862654,-1.3377642660508993,-0.5017241233574424,-0.5027438627414644,-1.0559758508802102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
470,2.230695874149874,1.42941662020131,-0.46812336418620953,1.306467540576219,0.9269101890894585,-0.24454948842015203,-0.8223506245298137,1.2110011705318287,1.369042926947773,-0.3046013795802158,0.9048064776084853,0.17990475046035315,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
135,-0.24208748759505092,1.42941662020131,-0.46812336418620953,2.0971507645164937,0.9269101890894585,0.3363281562832972,-0.8223506245298137,-0.016364880682862654,0.46677386261488224,1.3231854015080158,-0.07633890669427379,0.5761135314783573,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
818,0.7418920508155593,-0.22117993892260457,-0.46812336418620953,0.011017794209786864,0.9269101890894585,-1.2610853666511883,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,-1.322730190223417,-1.4238613648822405,-1.7902343257943096,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
965,-1.020714774511273,-0.22117993892260457,-0.46812336418620953,1.3805940928206197,0.9269101890894585,0.045889333931572594,-0.8223506245298137,-1.2437309318975538,-1.3377642660508993,0.3477326487959669,0.3624856111795341,1.8161483533276284,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
67,2.384710062770665,-1.046478218484562,-0.46812336418620953,1.2041023017625225,0.9269101890894585,0.7719863898108842,1.1512908743417392,-0.016364880682862654,-0.43549520171800854,-1.489370035478392,-0.728365902591677,-0.37312585476136956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
399,-0.8239188668291508,-0.22117993892260457,2.2051699592121947,-0.8996798476499938,0.9269101890894585,1.3528640345143335,-0.8223506245298137,-0.016364880682862654,-1.3377642660508993,1.1159016915567055,-0.18190518222052002,1.0564452777976938,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
704,-0.26775651903184944,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,-0.5906758264379571,1.6433028568660581,1.1512908743417392,-0.016364880682862654,1.369042926947773,-0.7212009927176535,0.056136419456309726,-0.3689716342526618,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
769,-0.2592001752195833,-0.22117993892260457,-0.46812336418620953,1.592384242090336,-0.800857927180017,-1.1158659554753259,1.1512908743417392,1.2110011705318287,-0.43549520171800854,2.040549613398335,-0.3102406544288978,-0.13529673063784936,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
858,0.288405828765452,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,0.7719863898108842,1.1512908743417392,1.2110011705318287,1.369042926947773,0.23799421411586139,-0.6290094079787394,-0.3944162348684969,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
